order_id,order_date,customer_id,product,category,quantity,unit_price,total_amount,payment_method,order_status,city
ORD10060,2026-03-13,CUST1222,Running Shoes,Footwear,2,2810.70,5621.40,UPI,Processing,Hyderabad
ORD10296,2026-07-28,CUST1005,T-Shirt,Fashion,5,845.00,4225.00,Debit Card,Processing,Mumbai
ORD10334,2026-07-16,CUST1035,Wireless mouse,Electronics,3,679.89,2039.67,Cash on Delivery,Processing,Delhi
ORD10281,2026-07-03,CUST1082,Backpack,Bags,2,1697.85,3395.70,Debit Card,Cancelled,Nashik
ORD10398,2026-04-01,CUST1043,Jeans,Fashion,2,2093.51,4187.02,Net Banking,Delivered,Ahmedabad
ORD10298,2026-07-04,CUST1014,Laptop Stand,Accessories,5,1329.25,6646.25,Net Banking,Cancelled,Nashik
ORD10107,2026-03-06,CUST1060,T-Shirt,Fashion,4,837.22,3348.88,UPI,Shipped,Hyderabad
ORD10293,2026-07-25,CUST1122,Wireless Mouse,Electronics,2,743.79,1487.58,Net Banking,Cancelled,Nashik
ORD10349,2026-08-05,CUST1095,Webcam,Electronics,1,2477.54,2477.54,UPI,Returned,Nagpur
ORD10416,2026-05-06,CUST1074,T-Shirt,Fashion,2,913.81,1827.62,Credit Card,Shipped,Hyderabad
ORD10174,2026-03-04,CUST1033,Wireless Mouse,Electronics,1,759.14,759.14,Net Banking,Shipped,Mumbai
ORD10240,2026-03-15,CUST1061,Water Bottle,Home & Kitchen,4,617.47,2469.88,Debit Card,Delivered,Pune
ORD10277,2026-06-14,CUST1198,Wireless Mouse,Electronics,1,611.18,611.18,Net Banking,Processing,Pune
ORD10231,2026-04-29,CUST1197,Running Shoes,Footwear,5,3320.32,16601.60,Debit Card,Cancelled,Kolkata
ORD10267,2026-02-21,CUST1203,Water Bottle,Home & Kitchen,2,619.60,1239.20,Credit Card,Shipped,Chennai
ORD10348,2026-02-04,CUST1100,Power Bank,Electronics,4,1524.76,6099.04,Credit Card,Processing,Nagpur
ORD10125,2026-06-22,CUST1215,Laptop Stand,Accessories,1,1139.74,1139.74,Net Banking,Returned,Pune
ORD10401,2026-04-29,CUST1198,Bluetooth Headphones,Electronics,4,1923.51,7694.04,Net Banking,Returned,Nashik
ORD10265,2026-07-27,CUST1175,Desk Lamp,Home & Kitchen,4,1377.87,5511.48,Debit Card,Processing,Mumbai
ORD10198,2026-07-13,CUST1159,Desk Lamp,Home & Kitchen,1,1075.11,1075.11,UPI,Delivered,Bengaluru
